city,county,state,country,cases,deaths,recovered,tested,active,population,lat,long,url,sources,rating,tz,featureId,curators,maintainers
,,Extremadura,ESP,493,18,6,,469,,39.75451443774111,-6.250120712850645,https://opendata.arcgis.com/datasets/48fac2d7de0f43f9af938852e3748845_0.csv,,0.14634146341463414,"[""Europe/Madrid""]",22,,
,,Galicia,ESP,915,12,19,,884,,42.19553303442197,-7.54885392701712,https://opendata.arcgis.com/datasets/48fac2d7de0f43f9af938852e3748845_0.csv,,0.14634146341463414,"[""Europe/Madrid""]",23,,
,,Comunidad de Madrid,ESP,10575,1263,2063,,7249,,,,https://opendata.arcgis.com/datasets/48fac2d7de0f43f9af938852e3748845_0.csv,,0.14634146341463414,,,,
,,Región de Murcia,ESP,345,2,1,,342,,,,https://opendata.arcgis.com/datasets/48fac2d7de0f43f9af938852e3748845_0.csv,,0.14634146341463414,,,,
,,Comunidad Foral de Navarra,ESP,886,24,7,,855,,,,https://opendata.arcgis.com/datasets/48fac2d7de0f43f9af938852e3748845_0.csv,,0.14634146341463414,,,,
,,País Vasco,ESP,2421,120,283,,2018,,43.14304220529398,-2.154373327342114,https://opendata.arcgis.com/datasets/48fac2d7de0f43f9af938852e3748845_0.csv,,0.14634146341463414,"[""Europe/Madrid""]",24,,
,,La Rioja,ESP,747,22,18,,707,,42.28492574697563,-2.4031165223596247,https://opendata.arcgis.com/datasets/48fac2d7de0f43f9af938852e3748845_0.csv,,0.14634146341463414,"[""Europe/Madrid""]",25,,
,,Ceuta,ESP,6,0,0,,6,,35.88593067100006,-5.345359091499915,https://opendata.arcgis.com/datasets/48fac2d7de0f43f9af938852e3748845_0.csv,,0.14634146341463414,"[""Africa/Ceuta""]",26,,
,,Melilla,ESP,28,0,0,,28,,35.29882680600007,-2.939916344999915,https://opendata.arcgis.com/datasets/48fac2d7de0f43f9af938852e3748845_0.csv,,0.14634146341463414,"[""Africa/Ceuta""]",27,,
,,,ESP,32796,2176,3355,,27265,48958159,35.73847077050007,-6.849639452499929,https://opendata.arcgis.com/datasets/48fac2d7de0f43f9af938852e3748845_0.csv,,0.0975609756097561,"[""Etc/GMT""]",28,,
,,La Réunion,FRA,71,0,,,71,,-21.115329685499916,55.53996829500005,https://raw.githubusercontent.com/opencovid19-fr/data/master/dist/chiffres-cles.csv,,0.3170731707317073,"[""Indian/Reunion""]",29,,
,,Saint-Barthélemy,FRA,3,0,,,3,,,,https://raw.githubusercontent.com/opencovid19-fr/data/master/dist/chiffres-cles.csv,,0.3170731707317073,,,,
,,Saint-Martin,FRA,8,0,,,8,,,,https://raw.githubusercontent.com/opencovid19-fr/data/master/dist/chiffres-cles.csv,,0.3170731707317073,,,,
,,Guadeloupe,FRA,62,0,,,62,,16.176466312683498,-61.404015738016,https://raw.githubusercontent.com/opencovid19-fr/data/master/dist/chiffres-cles.csv,,0.3170731707317073,"[""America/Guadeloupe""]",30,,
,,Martinique,FRA,53,0,,,53,,14.636421259678,-61.019989787163496,https://raw.githubusercontent.com/opencovid19-fr/data/master/dist/chiffres-cles.csv,,0.3170731707317073,"[""America/Martinique""]",31,,
,,Guyane,FRA,20,0,,,20,,3.93266119173895,-53.1138912280205,https://raw.githubusercontent.com/opencovid19-fr/data/master/dist/chiffres-cles.csv,,0.3170731707317073,"[""America/Cayenne""]",32,,
,,Mayotte,FRA,24,0,,,24,,-12.818387777882,45.158732839739,https://raw.githubusercontent.com/opencovid19-fr/data/master/dist/chiffres-cles.csv,,0.3170731707317073,"[""Indian/Mayotte""]",33,,
,,Ile-de-France,FRA,6211,0,,,6211,,48.677200741510504,2.5014494346077,https://raw.githubusercontent.com/opencovid19-fr/data/master/dist/chiffres-cles.csv,,0.3170731707317073,"[""Europe/Paris""]",34,,
,,Centre-Val de Loire,FRA,361,0,,,361,,47.6441333322795,1.590863237499439,https://raw.githubusercontent.com/opencovid19-fr/data/master/dist/chiffres-cles.csv,,0.3170731707317073,"[""Europe/Paris""]",35,,
,,Bourgogne-Franche-Comté,FRA,1347,0,,,1347,,47.2783252914275,4.99249435788615,https://raw.githubusercontent.com/opencovid19-fr/data/master/dist/chiffres-cles.csv,,0.3170731707317073,"[""Europe/Paris""]",36,,
,,Normandie,FRA,511,0,,,511,,49.126225630674995,-0.07229962564034997,https://raw.githubusercontent.com/opencovid19-fr/data/master/dist/chiffres-cles.csv,,0.3170731707317073,"[""Europe/Paris""]",37,,
,,Hauts-de-France,FRA,1287,108,,,1179,,49.963169589436,2.81688101494355,https://raw.githubusercontent.com/opencovid19-fr/data/master/dist/chiffres-cles.csv,,0.3170731707317073,"[""Europe/Paris""]",38,,
,,Grand-Est,FRA,4256,0,,,4256,,48.795257936556,5.80937857149355,https://raw.githubusercontent.com/opencovid19-fr/data/master/dist/chiffres-cles.csv,,0.3170731707317073,"[""Europe/Paris""]",39,,
,,Pays de la Loire,FRA,293,10,,,283,,47.417280519696504,-0.822573383953075,https://raw.githubusercontent.com/opencovid19-fr/data/master/dist/chiffres-cles.csv,,0.3170731707317073,"[""Europe/Paris""]",40,,
,,Bretagne,FRA,490,0,,,490,,48.075240635677,-3.07744531834385,https://raw.githubusercontent.com/opencovid19-fr/data/master/dist/chiffres-cles.csv,,0.3170731707317073,"[""Europe/Paris""]",41,,
,,Nouvelle-Aquitaine,FRA,676,0,,,676,,44.976635108258,0.40994910693179987,https://raw.githubusercontent.com/opencovid19-fr/data/master/dist/chiffres-cles.csv,,0.3170731707317073,"[""Europe/Paris""]",42,,
,,Occitanie,FRA,767,0,,,767,,43.689961371314496,2.25923388136695,https://raw.githubusercontent.com/opencovid19-fr/data/master/dist/chiffres-cles.csv,,0.3170731707317073,"[""Europe/Paris""]",43,,
,,Auvergne-Rhône-Alpes,FRA,1730,0,,,1730,,45.459794376849004,4.6235895980203,https://raw.githubusercontent.com/opencovid19-fr/data/master/dist/chiffres-cles.csv,,0.3170731707317073,"[""Europe/Paris""]",44,,
,,Provence-Alpes-Côte d’Azur,FRA,1510,0,,,1510,,44.0544436063075,5.9736093715955,https://raw.githubusercontent.com/opencovid19-fr/data/master/dist/chiffres-cles.csv,,0.3170731707317073,"[""Europe/Paris""]",45,,
,,Corse,FRA,194,0,,,194,,42.186944409099496,9.04966440635685,https://raw.githubusercontent.com/opencovid19-fr/data/master/dist/chiffres-cles.csv,,0.3170731707317073,"[""Europe/Paris""]",46,,
,,,FRA,21507,118,,,21389,67106161,14.862000781359463,-2.9882706369999426,https://raw.githubusercontent.com/opencovid19-fr/data/master/dist/chiffres-cles.csv,,0.2682926829268293,"[""Africa/Bamako""]",47,,
,,Andhra Pradesh,IND,7,0,0,,7,49577103,16.249396063877242,80.74862206352185,https://www.mohfw.gov.in/,,0.3170731707317073,"[""Asia/Kolkata""]",48,,
,,Bihar,IND,2,1,0,,1,104099452,25.90844513275855,85.81024580290145,https://www.mohfw.gov.in/,,0.3170731707317073,"[""Asia/Kolkata""]",49,,
,,Chhattisgarh,IND,1,0,0,,1,25545198,20.958152574281854,82.31128624906111,https://www.mohfw.gov.in/,,0.3170731707317073,"[""Asia/Kolkata""]",50,,
,,Delhi,IND,30,1,6,,23,16787941,28.657346706984924,77.0872123548163,https://www.mohfw.gov.in/,,0.3170731707317073,"[""Asia/Kolkata""]",51,,
,,Gujarat,IND,29,1,0,,28,60439692,22.390503706309964,71.31093488914493,https://www.mohfw.gov.in/,,0.3170731707317073,"[""Asia/Kolkata""]",52,,
,,Haryana,IND,12,0,11,,1,25351462,29.29344483126394,76.02577843622583,https://www.mohfw.gov.in/,,0.3170731707317073,"[""Asia/Kolkata""]",53,,
,,Himachal Pradesh,IND,3,1,0,,2,6864602,31.807193203503516,77.29748375836871,https://www.mohfw.gov.in/,,0.3170731707317073,"[""Asia/Kolkata""]",54,,
,,Karnataka,IND,37,1,2,,34,61095297,15.04293223673335,76.32975935210584,https://www.mohfw.gov.in/,,0.3170731707317073,"[""Asia/Kolkata""]",55,,
,,Kerala,IND,87,0,4,,83,33406061,10.525229553007051,76.12643659801603,https://www.mohfw.gov.in/,,0.3170731707317073,"[""Asia/Kolkata""]",56,,
,,Madhya Pradesh,IND,7,0,0,,7,72626809,23.962930405963448,78.41705366399535,https://www.mohfw.gov.in/,,0.3170731707317073,"[""Asia/Kolkata""]",57,,
,,Maharashtra,IND,84,2,0,,82,112374333,18.8277528956296,76.77199039033388,https://www.mohfw.gov.in/,,0.3170731707317073,"[""Asia/Kolkata""]",58,,
,,Odisha,IND,2,0,0,,2,41974218,20.176843675645102,84.43570824513938,https://www.mohfw.gov.in/,,0.3170731707317073,"[""Asia/Kolkata""]",59,,
,,Puducherry,IND,1,0,0,,1,1247953,11.455302435772268,77.53475996200007,https://www.mohfw.gov.in/,,0.3170731707317073,"[""Asia/Kolkata""]",60,,
,,Punjab,IND,21,1,0,,20,27743338,31.03926850074069,75.37832401215817,https://www.mohfw.gov.in/,,0.3170731707317073,"[""Asia/Kolkata""]",61,,
,,Rajasthan,IND,31,0,3,,28,68548437,26.620069377799524,73.84407657553248,https://www.mohfw.gov.in/,,0.3170731707317073,"[""Asia/Kolkata""]",62,,
,,Tamil Nadu,IND,10,0,1,,9,72147030,10.77222336758263,78.29429100910343,https://www.mohfw.gov.in/,,0.3170731707317073,"[""Asia/Kolkata""]",63,,
,,Telengana,IND,22,0,1,,21,35003674,,,https://www.mohfw.gov.in/,,0.3170731707317073,,,,
,,Chandigarh,IND,6,0,0,,6,1055450,30.73326650694372,76.76552656449931,https://www.mohfw.gov.in/,,0.3170731707317073,"[""Asia/Kolkata""]",64,,
,,Jammu and Kashmir,IND,4,0,0,,4,12267032,33.897996219547814,76.63741988100006,https://www.mohfw.gov.in/,,0.3170731707317073,"[""Asia/Kolkata""]",65,,
,,Ladakh,IND,13,0,0,,13,274000,,,https://www.mohfw.gov.in/,,0.3170731707317073,,,,
,,Uttar Pradesh,IND,32,0,9,,23,199812341,27.152981167396916,80.83266849165753,https://www.mohfw.gov.in/,,0.3170731707317073,"[""Asia/Kolkata""]",66,,
,,Uttarakhand,IND,3,0,0,,3,10086292,30.085476993671897,79.29053999553955,https://www.mohfw.gov.in/,,0.3170731707317073,"[""Asia/Kolkata""]",67,,
,,West Bengal,IND,7,1,0,,6,91276115,24.402508335403155,87.85869957912226,https://www.mohfw.gov.in/,,0.3170731707317073,"[""Asia/Kolkata""]",68,,
,,Abruzzo,ITA,663,38,20,,605,1311580,42.28841046055399,13.90075072681885,https://raw.githubusercontent.com/pcm-dpc/COVID-19/master/dati-regioni/dpc-covid19-ita-regioni.csv,,0.4634146341463415,"[""Europe/Rome""]",69,,
,,Basilicata,ITA,90,1,0,,89,562869,40.51736165566957,16.10092821894685,https://raw.githubusercontent.com/pcm-dpc/COVID-19/master/dati-regioni/dpc-covid19-ita-regioni.csv,,0.4634146341463415,"[""Europe/Rome""]",70,,
,,P.A. Bolzano,ITA,724,29,7,,688,107436,46.65500433907897,11.419398570635366,https://raw.githubusercontent.com/pcm-dpc/COVID-19/master/dati-regioni/dpc-covid19-ita-regioni.csv,,0.4634146341463415,"[""Europe/Rome""]",71,,
,,Calabria,ITA,292,7,5,,280,1947131,39.02984011561159,16.418351979942813,https://raw.githubusercontent.com/pcm-dpc/COVID-19/master/dati-regioni/dpc-covid19-ita-regioni.csv,,0.4634146341463415,"[""Europe/Rome""]",72,,
,,Campania,ITA,1026,49,48,,929,5801692,40.74896505776182,14.783939401902451,https://raw.githubusercontent.com/pcm-dpc/COVID-19/master/dati-regioni/dpc-covid19-ita-regioni.csv,,0.4634146341463415,"[""Europe/Rome""]",73,,
,,Emilia Romagna,ITA,8535,892,423,,7220,4459477,44.43551924350304,10.977418355306853,https://raw.githubusercontent.com/pcm-dpc/COVID-19/master/dati-regioni/dpc-covid19-ita-regioni.csv,,0.4634146341463415,"[""Europe/Rome""]",74,,
,,Friuli Venezia Giulia,ITA,930,54,105,,771,1215220,46.11416103259626,13.120408018720507,https://raw.githubusercontent.com/pcm-dpc/COVID-19/master/dati-regioni/dpc-covid19-ita-regioni.csv,,0.4634146341463415,"[""Europe/Rome""]",75,,
,,Lazio,ITA,1540,63,63,,1414,5879082,41.811776720877134,12.738640304805985,https://raw.githubusercontent.com/pcm-dpc/COVID-19/master/dati-regioni/dpc-covid19-ita-regioni.csv,,0.4634146341463415,"[""Europe/Rome""]",76,,
