city,county,state,country,cases,deaths,recovered,tested,active,population,lat,long,url,maintainer,rating,featureId,curators,sources,countyName,certValidation,maintainers
,,,LUX,484,4,0,,480,594130,49.80347279900003,6.1075130615000575,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,42,,,,,
,,,MCO,11,0,0,,11,30645,43.743117918500026,7.401602119563048,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,43,,,,,
,,,QAT,470,0,10,,460,2314307,25.363913984500023,51.18376712300005,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,44,,,,,
,,,ECU,367,5,0,,362,16290913,-1.7634670984999161,-83.4578538649999,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,45,,,,,
,,,AZE,44,1,6,,37,9961396,40.14320973750006,47.50227481750011,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,46,,,,,
,,,ARM,136,0,1,,135,3045191,40.077076823500036,45.01914310700013,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,47,,,,,
,,,DOM,72,2,0,,70,10734247,18.771246649000062,-70.13417985399988,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,48,,,,,
,,,IDN,369,32,15,,322,260580739,-2.6357561174999375,118.08721907200007,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,49,,,,,
,,,PRT,1020,6,5,,1009,10839514,37.400416263500055,-15.94334102749994,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,50,,,,,
,,,AND,75,0,1,,74,85702,42.51501586950006,1.5681518960000886,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,51,,,,,
,,,LVA,111,0,1,,110,1944643,56.862861023500045,24.59194014100008,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,52,,,,,
,,,MAR,77,3,1,,73,33986655,28.67223747529175,-9.030622863196513,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,53,,,,,
,,,SAU,344,0,8,,336,28571770,24.244550886000077,45.132142167500064,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,54,,,,,
,,,SEN,38,0,2,,36,14668522,14.474492289500091,-14.37969132899994,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,55,,,,,
,,,ARG,128,3,3,,122,44293293,-38.42173074799991,-63.626654215499926,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,56,,,,,
,,,CHL,434,0,6,,428,17789267,-36.567062457499944,-71.3604937374999,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,57,,,,,
,,,JOR,85,0,1,,84,10248069,31.280817871500048,37.04788003839781,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,58,,,,,
,,,UKR,29,3,0,,26,44033874,48.79241852100008,31.137251424000127,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,59,,,,,
,,,HUN,85,3,2,,80,9850845,47.156127930000025,19.485817912000087,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,60,,,,,
,,,LIE,28,0,0,,28,38244,47.15983571400008,9.533092081500058,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,61,,,,,
,,,POL,425,5,1,,419,38476269,51.93482900350006,19.125478149000088,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,62,,,,,
,,,TUN,54,1,0,,53,11403800,33.78217031200008,9.521981649000097,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,63,,,,,
,,,BIH,89,0,2,,87,3856181,43.91899993950011,17.668099406000096,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,64,,,,,
,,,SVN,341,1,0,,340,1972126,46.14379954050001,14.940281412500084,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,65,,,,,
,,,ZAF,202,0,0,,202,54841552,-28.469792578999943,24.690074089500087,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,66,,,,,
,,,BTN,2,0,0,,2,758288,27.518180482737833,90.40745792650009,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,67,,,,,
,,,CMR,20,0,0,,20,24994885,7.407972718000032,12.350860429500074,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,68,,,,,
,,,COL,128,0,1,,127,47698524,4.114416812000066,-72.93652033249992,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,69,,,,,
,,,CRI,89,1,0,,88,4930258,9.615482479500045,-84.21760006449992,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,70,,,,,
,,,PER,234,3,1,,230,31036656,-9.190602483184005,-75.01090500599992,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,71,,,,,
,,,SRB,135,1,1,,133,7111024,44.20522467850007,20.9182886145001,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,72,,,,,
,,,SVK,137,1,0,,136,5445829,48.67589304650005,19.692058553000123,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,73,,,,,
,,,TGO,9,0,1,,8,7965055,8.61773549700009,0.8081207685000891,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,74,,,,,
,,,MLT,64,0,2,,62,416338,35.88346995650005,14.445323113000057,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,75,,,,,
,,,MTQ,32,1,0,,31,,14.6415,-61.0242,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,,,,,,
,,,BGR,127,3,0,,124,7101510,42.73391529800004,25.47427473600007,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,76,,,,,
,,,MDV,13,0,0,,13,392709,4.213175576792927,73.52910604309824,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,77,,,,,
,,,BGD,20,1,3,,16,157826578,23.73811778050007,90.33232039450004,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,78,,,,,
,,,PRY,13,0,0,,13,6943739,-23.43368479399996,-58.44782303899994,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,79,,,,,
,,,ALB,70,2,0,,68,3047987,41.11245290150006,20.154355916000085,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,80,,,,,
,,,CYP,67,0,0,,67,1221549,34.910753335500104,33.197142898000095,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,81,,,,,
,,,BRN,78,0,1,,77,443593,4.510995486500057,114.66157535500005,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,82,,,,,
,,MA,USA,413,1,0,,412,6892503,42.12038082106261,-71.72305888370983,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,83,,,,,
,,CO,USA,363,4,0,,359,5758736,38.99982098225249,-105.54309696705135,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,84,,,,,
,,FL,USA,563,10,0,,553,21477737,28.060753542550117,-83.82965067998012,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,85,,,,,
,,IA,USA,45,0,0,,45,3155070,41.94023846253498,-93.38911747419203,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,86,,,,,
,,SC,USA,126,1,0,,125,5148714,33.619274050261765,-80.96432271741013,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,87,,,,,
,,VA,USA,122,2,0,,120,8535519,37.99530438119223,-79.76028754243612,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,88,,,,,
,,KY,USA,47,2,0,,45,4467673,37.820719419565535,-85.69484257237679,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,89,,,,,
,,DC,USA,71,1,0,,70,705749,38.899451555326564,-77.0145477695639,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,90,,,,,
,,NV,USA,114,1,0,,113,3080156,38.50182293528022,-117.02047733760901,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,91,,,,,
,,NH,USA,44,0,0,,44,1359711,44.002575579129676,-71.64192281532604,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,92,,,,,
,,MN,USA,115,0,0,,115,5639632,46.434810139826055,-93.36252550514794,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,93,,,,,
,,NE,USA,37,0,0,,37,1934408,41.50023602157509,-99.68549198596634,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,94,,,,,
,,RI,USA,54,0,0,,54,1059361,41.66332011094793,-71.48453225865693,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,95,,,,,
,,HI,USA,26,0,0,,26,1415872,20.58419053050008,-157.30113772849992,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,96,,,,,
,,,BFA,40,1,0,,39,20107509,12.230804951500069,-1.5662045904998934,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,97,,,,,
,,,VAT,1,0,0,,1,1000,41.90333333950011,12.453533325000109,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,98,,,,,
,,,MNG,6,0,0,,6,3068243,46.85141784700008,103.85503503500007,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,99,,,,,
,,,PAN,137,1,0,,136,3753142,8.420921827000058,-80.07274338849989,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,100,,,,,
,,KS,USA,44,1,0,,43,2913314,38.49995525967745,-98.33450321689992,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,101,,,,,
,,MO,USA,53,2,0,,51,6137428,38.30249432230511,-92.44567264977294,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,102,,,,,
,,VT,USA,29,2,0,,27,623989,43.87150381198679,-72.47219594044931,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,103,,,,,
,,AK,USA,12,0,0,,12,731545,61.51689280800005,0.7835596040000752,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,104,,,,,
,,AR,USA,96,0,0,,96,3017804,34.755387388617066,-92.142816204804,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,105,,,,,
,,ID,USA,23,0,0,,23,1787065,45.49602738420207,-114.12702030654191,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,106,,,,,
,,ME,USA,56,0,0,,56,1344212,45.261826073000044,-69.03113847999994,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,107,,,,,
,,MI,USA,552,3,0,,549,9986857,44.99773029893432,-86.2800539156174,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,108,,,,,
,,MT,USA,15,0,0,,15,1068778,46.70905513463874,-110.04412235741086,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,109,,,,,
,,NM,USA,43,0,0,,43,2096829,34.16360001562739,-106.02383427161152,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,110,,,,,
,,ND,USA,19,0,0,,19,762062,47.46721085597658,-100.3019580214955,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,111,,,,,
,,WV,USA,7,0,0,,7,1792147,38.92806805344787,-80.1829407161911,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,112,,,,,
,,Hubei,CHN,67800,3133,58382,,6285,59170000,31.166405443456426,112.26392825753302,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,113,,,,,
,,,IRN,19644,1433,6745,,11466,82021564,32.412651216000036,53.6631116130001,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,114,,,,,
,,,KOR,8652,94,1540,,7018,51181299,35.91235993050006,127.85698489700007,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,115,,,,,
,,Guangdong,CHN,1395,8,1323,,64,113460000,22.876783758944043,113.41792352680932,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,116,,,,,
,,Henan,CHN,1273,22,1250,,1,96050000,33.87707977965809,113.48442223524788,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,117,,,,,
,,Zhejiang,CHN,1234,1,1219,,14,57370000,29.189050400871963,120.1641359794138,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,118,,,,,
,,Hunan,CHN,1018,4,1014,,0,68990000,27.369414984613826,111.50909061104284,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,119,,,,,
,,Anhui,CHN,990,6,984,,0,63240000,32.02378204990168,117.2581712176775,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,120,,,,,
,,Jiangxi,CHN,935,1,934,,0,46480000,27.275131334293633,116.01917707751011,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,121,,,,,
,,Shandong,CHN,762,7,748,,7,100470000,36.33507593620547,118.74515424940193,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,122,,,,,
,,Jiangsu,CHN,631,0,631,,0,80510000,32.934811713190015,119.14963721029278,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,123,,,,,
,,Chongqing,CHN,576,6,570,,0,31020000,30.198712571927643,107.73296451180275,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,124,,,,,
,,Sichuan,CHN,541,3,536,,2,83410000,30.165213324835065,102.93966535826965,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,125,,,,,
,,Heilongjiang,CHN,484,13,463,,8,37730000,48.501949771374576,127.97325321185173,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,126,,,,,
,,,DNK,1255,9,1,,1245,5605948,56.10986969600006,11.628916862500091,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,127,,,,,
,,Beijing,CHN,491,8,390,,93,21540000,40.236575323991985,116.42780846573805,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,128,,,,,
,,Shanghai,CHN,371,3,326,,42,24240000,31.266158547445322,121.43153719907554,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,129,,,,,
,,Hebei,CHN,318,6,310,,2,75560000,39.323827419599695,116.65206139450123,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,130,,,,,
,,Fujian,CHN,299,1,295,,3,39410000,25.971159641604146,118.13227705193037,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,131,,,,,
,,Guangxi,CHN,254,2,250,,2,49260000,23.899949245349177,108.27096784823755,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,132,,,,,
,,Shaanxi,CHN,247,3,237,,7,38640000,35.63509908705319,108.36171166401203,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,133,,,,,
,,Yunnan,CHN,176,2,172,,2,48300000,25.179122725058342,101.85510583221756,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,134,,,,,
,,Hainan,CHN,168,6,161,,1,9340000,19.150763250500063,109.81287682400003,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,135,,,,,
,,Guizhou,CHN,146,2,144,,0,36000000,26.9387435980386,106.60127648352287,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,136,,,,,
,,Tianjin,CHN,137,3,133,,1,15600000,39.40813751918114,117.34508644325369,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,137,,,,,
,,Shanxi,CHN,133,0,133,,0,37180000,37.66312775369286,112.3891919290642,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,138,,,,,
,,Gansu,CHN,134,2,98,,34,26370000,37.69770367228662,100.73804263765757,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,139,,,,,
,,,HKG,256,4,98,,154,7191503,22.41313304250005,114.21021569100003,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,140,,,,,
