name,level,city,county,state,country,lat,long,population,url,aggregate,tz,2020-04-10,2020-04-11
"Cavalier County, North Dakota, United States",county,,Cavalier County,North Dakota,United States,48.7717780290715,-98.463522,3762,https://github.com/CSSEGISandData/COVID-19,county,America/Chicago,0,0
"Dickey County, North Dakota, United States",county,,Dickey County,North Dakota,United States,46.109511182140146,-98.50623467507626,4872,https://github.com/CSSEGISandData/COVID-19,county,America/Chicago,0,0
"Golden Valley County, North Dakota, United States",county,,Golden Valley County,North Dakota,United States,46.9354374275,-103.8275555,1761,https://github.com/CSSEGISandData/COVID-19,county,America/Denver,0,0
"Griggs County, North Dakota, United States",county,,Griggs County,North Dakota,United States,47.456433,-98.2303245,2231,https://github.com/CSSEGISandData/COVID-19,county,America/Chicago,0,0
"Hettinger County, North Dakota, United States",county,,Hettinger County,North Dakota,United States,46.418251999999995,-102.4629455,2499,https://github.com/CSSEGISandData/COVID-19,county,America/Denver,0,0
"Kidder County, North Dakota, United States",county,,Kidder County,North Dakota,United States,46.979445999999996,-99.78053,2480,https://github.com/CSSEGISandData/COVID-19,county,America/Chicago,0,0
"LaMoure County, North Dakota, United States",county,,LaMoure County,North Dakota,United States,46.4569415,-98.5356145,4046,https://github.com/CSSEGISandData/COVID-19,county,America/Chicago,0,0
"Logan County, North Dakota, United States",county,,Logan County,North Dakota,United States,46.457868,-99.4766915,1850,https://github.com/CSSEGISandData/COVID-19,county,America/Chicago,0,0
"Mercer County, North Dakota, United States",county,,Mercer County,North Dakota,United States,47.2778325,-101.7313825,8187,https://github.com/CSSEGISandData/COVID-19,county,America/North_Dakota/Beulah,0,0
"Nelson County, North Dakota, United States",county,,Nelson County,North Dakota,United States,47.933678,-98.20389399999999,2879,https://github.com/CSSEGISandData/COVID-19,county,America/Chicago,0,0
"Pembina County, North Dakota, United States",county,,Pembina County,North Dakota,United States,48.771533669528196,-97.52377068192035,6801,https://github.com/CSSEGISandData/COVID-19,county,America/Chicago,0,0
"Ransom County, North Dakota, United States",county,,Ransom County,North Dakota,United States,46.456524,-97.65726049999999,5218,https://github.com/CSSEGISandData/COVID-19,county,America/Chicago,0,0
"Renville County, North Dakota, United States",county,,Renville County,North Dakota,United States,48.7289095,-101.5406575,2327,https://github.com/CSSEGISandData/COVID-19,county,America/Chicago,0,0
"Rolette County, North Dakota, United States",county,,Rolette County,North Dakota,United States,48.7720464126582,-99.838018,14176,https://github.com/CSSEGISandData/COVID-19,county,America/Chicago,0,0
"Sargent County, North Dakota, United States",county,,Sargent County,North Dakota,United States,46.10884,-97.6181961287154,3898,https://github.com/CSSEGISandData/COVID-19,county,America/Chicago,1,1
"Sheridan County, North Dakota, United States",county,,Sheridan County,North Dakota,United States,47.587396,-100.35306700000001,1315,https://github.com/CSSEGISandData/COVID-19,county,America/Chicago,0,0
"Steele County, North Dakota, United States",county,,Steele County,North Dakota,United States,47.4556805,-97.71904849999999,1890,https://github.com/CSSEGISandData/COVID-19,county,America/Chicago,0,0
"Towner County, North Dakota, United States",county,,Towner County,North Dakota,United States,48.68523919731905,-99.2481315,2189,https://github.com/CSSEGISandData/COVID-19,county,America/Chicago,0,0
"Traill County, North Dakota, United States",county,,Traill County,North Dakota,United States,47.45509288070545,-97.15361049999998,8036,https://github.com/CSSEGISandData/COVID-19,county,America/Chicago,0,0
"Wells County, North Dakota, United States",county,,Wells County,North Dakota,United States,47.587188499999996,-99.66761199999999,3834,https://github.com/CSSEGISandData/COVID-19,county,America/Chicago,0,0
"Crockett County, Tennessee, United States",county,,Crockett County,Tennessee,United States,35.835356499999996,-89.124865,14230,https://github.com/CSSEGISandData/COVID-19,county,America/Chicago,0,0
"Hancock County, Tennessee, United States",county,,Hancock County,Tennessee,United States,36.493238,-83.1512705,6620,https://github.com/CSSEGISandData/COVID-19,county,America/New_York,0,0
"Lake County, Tennessee, United States",county,,Lake County,Tennessee,United States,36.344296,-89.52297,7016,https://github.com/CSSEGISandData/COVID-19,county,America/Chicago,0,0
"Moore County, Tennessee, United States",county,,Moore County,Tennessee,United States,35.2678425,-86.3924375,6488,https://github.com/CSSEGISandData/COVID-19,county,America/Chicago,0,0
"Pickett County, Tennessee, United States",county,,Pickett County,Tennessee,United States,36.516751,-85.00835849999999,5048,https://github.com/CSSEGISandData/COVID-19,county,America/Chicago,0,0
"Rhea County, Tennessee, United States",county,,Rhea County,Tennessee,United States,35.6172195,-84.9291325,33167,https://github.com/CSSEGISandData/COVID-19,county,America/New_York,0,0
"Van Buren County, Tennessee, United States",county,,Van Buren County,Tennessee,United States,35.67781649999999,-85.43434099999999,5872,https://github.com/CSSEGISandData/COVID-19,county,America/Chicago,0,0
"Beaver County, Utah, United States",county,,Beaver County,Utah,United States,38.360196729150445,-113.192933,6710,https://github.com/CSSEGISandData/COVID-19,county,America/Denver,0,0
"Daggett County, Utah, United States",county,,Daggett County,Utah,United States,40.832222,-109.5245419871205,950,https://github.com/CSSEGISandData/COVID-19,county,America/Denver,0,0
"Morgan County, Utah, United States",county,,Morgan County,Utah,United States,41.0769745,-111.549186,12124,https://github.com/CSSEGISandData/COVID-19,county,America/Denver,0,0
"Piute County, Utah, United States",county,,Piute County,Utah,United States,38.328869499999996,-112.1429575,1479,https://github.com/CSSEGISandData/COVID-19,county,America/Denver,0,0
"Rich County, Utah, United States",county,,Rich County,Utah,United States,41.572224,-111.2787905,2483,https://github.com/CSSEGISandData/COVID-19,county,America/Denver,0,0
"Sanpete County, Utah, United States",county,,Sanpete County,Utah,United States,39.422646,-111.631697,30939,https://github.com/CSSEGISandData/COVID-19,county,America/Denver,0,0
"Sevier County, Utah, United States",county,,Sevier County,Utah,United States,38.773833499999995,-111.910367,21620,https://github.com/CSSEGISandData/COVID-19,county,America/Denver,0,0
"Wayne County, Utah, United States",county,,Wayne County,Utah,United States,38.330128,-110.86695549999999,2711,https://github.com/CSSEGISandData/COVID-19,county,America/Denver,0,0
Afghanistan,country,,,,Afghanistan,33.934,67.70400000000001,34940837,https://github.com/CSSEGISandData/COVID-19,country,Asia/Kabul,521,521
Albania,country,,,,Albania,41.1555,20.1605,2873457,https://github.com/CSSEGISandData/COVID-19,country,Europe/Tirane,416,416
Algeria,country,,,,Algeria,28.03,1.6639999999999997,41318142,https://github.com/CSSEGISandData/COVID-19,country,Africa/Algiers,1761,1761
Andorra,country,,,,Andorra,42.545,1.601,76177,https://github.com/CSSEGISandData/COVID-19,country,Europe/Andorra,601,601
Angola,country,,,,Angola,-11.2135,17.8785,29784193,https://github.com/CSSEGISandData/COVID-19,country,Africa/Luanda,19,19
Antigua and Barbuda,country,,,,Antigua and Barbuda,17.333,-62.0095,102012,https://github.com/CSSEGISandData/COVID-19,country,Etc/GMT+4,19,19
Argentina,country,,,,Argentina,-38.4275,-63.599500000000006,44938712,https://github.com/CSSEGISandData/COVID-19,country,America/Argentina/Salta,1975,1975
Armenia,country,,,,Armenia,40.070499999999996,45.040000000000006,2930450,https://github.com/CSSEGISandData/COVID-19,country,Asia/Yerevan,937,937
Austria,country,,,,Austria,47.696,13.346,8809212,https://github.com/CSSEGISandData/COVID-19,country,Europe/Vienna,13555,13555
Azerbaijan,country,,,,Azerbaijan,40.1505,47.810500000000005,10000000,https://github.com/CSSEGISandData/COVID-19,country,Asia/Baku,991,991
The Bahamas,country,,,,The Bahamas,24.0925,-76.5975,395361,https://github.com/CSSEGISandData/COVID-19,country,America/Nassau,42,42
Bahrain,country,,,,Bahrain,26.029,50.6055,1492584,https://github.com/CSSEGISandData/COVID-19,country,Asia/Bahrain,925,925
Bangladesh,country,,,,Bangladesh,23.6125,90.344,164669751,https://github.com/CSSEGISandData/COVID-19,country,Asia/Dhaka,424,424
Barbados,country,,,,Barbados,13.1935,-59.5355,285719,https://github.com/CSSEGISandData/COVID-19,country,America/Barbados,67,67
Belarus,country,,,,Belarus,53.716499999999996,27.9675,9504700,https://github.com/CSSEGISandData/COVID-19,country,Europe/Minsk,1981,1981
