city,county,state,country,population,lat,long,url,cases,deaths,recovered,active,tested,growthFactor,date
,,Jilin,CHN,27040000,43.56576924140737,126.47365482303488,https://github.com/CSSEGISandData/COVID-19,95,1,,,,,2020-03-26
,,Liaoning,CHN,43590000,41.09091390618639,122.31055016440854,https://github.com/CSSEGISandData/COVID-19,128,2,,,,,2020-03-26
,,,MAC,601969,22.13420237850005,113.55058841250002,https://github.com/CSSEGISandData/COVID-19,31,,,,,,2020-03-26
,,Ningxia,CHN,6880000,37.31081075681095,106.00808271719359,https://github.com/CSSEGISandData/COVID-19,75,,,,,,2020-03-26
,,Qinghai,CHN,6030000,35.43499502195269,96.23774885477579,https://github.com/CSSEGISandData/COVID-19,18,,,,,,2020-03-26
,,Shaanxi,CHN,38640000,35.63509908705319,108.36171166401203,https://github.com/CSSEGISandData/COVID-19,253,3,,,,,2020-03-26
,,Shandong,CHN,100470000,36.33507593620547,118.74515424940193,https://github.com/CSSEGISandData/COVID-19,771,7,,,,,2020-03-26
,,Shanghai,CHN,24240000,31.266158547445322,121.43153719907554,https://github.com/CSSEGISandData/COVID-19,451,5,,,,,2020-03-26
,,Shanxi,CHN,37180000,37.66312775369286,112.3891919290642,https://github.com/CSSEGISandData/COVID-19,135,,,,,,2020-03-26
,,Sichuan,CHN,83410000,30.165213324835065,102.93966535826965,https://github.com/CSSEGISandData/COVID-19,547,3,,,,,2020-03-26
,,Tianjin,CHN,15600000,39.40813751918114,117.34508644325369,https://github.com/CSSEGISandData/COVID-19,151,3,,,,,2020-03-26
,,Tibet,CHN,3440000,31.88221486755922,88.74489831230724,https://github.com/CSSEGISandData/COVID-19,1,,,,,,2020-03-26
,,Xinjiang,CHN,24870000,41.752899103285706,84.98429810398284,https://github.com/CSSEGISandData/COVID-19,76,3,,,,,2020-03-26
,,Yunnan,CHN,48300000,25.179122725058342,101.85510583221756,https://github.com/CSSEGISandData/COVID-19,178,2,,,,,2020-03-26
,,Zhejiang,CHN,57370000,29.189050400871963,120.1641359794138,https://github.com/CSSEGISandData/COVID-19,1243,1,,,,,2020-03-26
,,,COL,47698524,4.114416812000066,-72.93652033249992,https://github.com/CSSEGISandData/COVID-19,491,6,,,,,2020-03-26
,,,COG,4954674,-0.6556773869999333,14.870201735054954,https://github.com/CSSEGISandData/COVID-19,4,,,,,,2020-03-26
,,,COD,83301151,-4.029468688999948,21.726683794000053,https://github.com/CSSEGISandData/COVID-19,51,3,,,,,2020-03-26
,,,CRI,4930258,9.615482479500045,-84.21760006449992,https://github.com/CSSEGISandData/COVID-19,231,2,,,,,2020-03-26
,,,CIV,24184810,7.533667911000066,-5.536220662499915,https://github.com/CSSEGISandData/COVID-19,96,,,,,,2020-03-26
,,,HRV,4292095,44.48165314050009,16.33771101500008,https://github.com/CSSEGISandData/COVID-19,495,3,,,,,2020-03-26
,,,CUB,11147407,21.528102931500058,-79.28561357349994,https://github.com/CSSEGISandData/COVID-19,67,2,,,,,2020-03-26
,,,CYP,1221549,34.910753335500104,33.197142898000095,https://github.com/CSSEGISandData/COVID-19,146,3,,,,,2020-03-26
,,,CZE,10674723,49.80312398300006,15.540038086000095,https://github.com/CSSEGISandData/COVID-19,1925,9,,,,,2020-03-26
