city,county,state,country,cases,deaths,recovered,tested,active,population,lat,long,url,aggregate,rating,tz,featureId,hospitalized
,,Heilongjiang,CHN,484,13,,,,37730000,48.501949771374576,127.97325321185173,https://github.com/CSSEGISandData/COVID-19,state,0.5098039215686274,Asia/Shanghai,39,
,,Henan,CHN,1276,22,,,,96050000,33.87707977965809,113.48442223524788,https://github.com/CSSEGISandData/COVID-19,state,0.5098039215686274,Asia/Shanghai,40,
,,,HKG,714,4,,,,7191503,22.41313304250005,114.21021569100003,https://github.com/CSSEGISandData/COVID-19,state,0.5098039215686274,Asia/Hong_Kong,41,
,,Hubei,CHN,67801,3187,,,,59170000,31.166405443456426,112.26392825753302,https://github.com/CSSEGISandData/COVID-19,state,0.5098039215686274,Asia/Shanghai,42,
,,Hunan,CHN,1018,4,,,,68990000,27.369414984613826,111.50909061104284,https://github.com/CSSEGISandData/COVID-19,state,0.5098039215686274,Asia/Shanghai,43,
,,Inner Mongolia,CHN,107,1,,,,25000034,45.35383134546877,111.62347220837569,https://github.com/CSSEGISandData/COVID-19,state,0.5098039215686274,Asia/Ulaanbaatar,44,
,,Jiangsu,CHN,646,0,,,,80510000,32.934811713190015,119.14963721029278,https://github.com/CSSEGISandData/COVID-19,state,0.5098039215686274,Asia/Shanghai,45,
,,Jiangxi,CHN,937,1,,,,46480000,27.275131334293633,116.01917707751011,https://github.com/CSSEGISandData/COVID-19,state,0.5098039215686274,Asia/Shanghai,46,
,,Jilin,CHN,98,1,,,,27040000,43.56576924140737,126.47365482303488,https://github.com/CSSEGISandData/COVID-19,state,0.5098039215686274,Asia/Shanghai,47,
,,Liaoning,CHN,139,2,,,,43590000,41.09091390618639,122.31055016440854,https://github.com/CSSEGISandData/COVID-19,state,0.5098039215686274,Asia/Shanghai,48,
,,,MAC,41,0,,,,601969,22.13420237850005,113.55058841250002,https://github.com/CSSEGISandData/COVID-19,state,0.5098039215686274,Asia/Macau,49,
,,Ningxia,CHN,75,0,,,,6880000,37.31081075681095,106.00808271719359,https://github.com/CSSEGISandData/COVID-19,state,0.5098039215686274,Asia/Shanghai,50,
,,Qinghai,CHN,18,0,,,,6030000,35.43499502195269,96.23774885477579,https://github.com/CSSEGISandData/COVID-19,state,0.5098039215686274,Asia/Shanghai,51,
,,Shaanxi,CHN,253,3,,,,38640000,35.63509908705319,108.36171166401203,https://github.com/CSSEGISandData/COVID-19,state,0.5098039215686274,Asia/Shanghai,52,
,,Shandong,CHN,774,7,,,,100470000,36.33507593620547,118.74515424940193,https://github.com/CSSEGISandData/COVID-19,state,0.5098039215686274,Asia/Shanghai,53,
,,Shanghai,CHN,509,5,,,,24240000,31.266158547445322,121.43153719907554,https://github.com/CSSEGISandData/COVID-19,state,0.5098039215686274,Asia/Shanghai,54,
,,Shanxi,CHN,136,0,,,,37180000,37.66312775369286,112.3891919290642,https://github.com/CSSEGISandData/COVID-19,state,0.5098039215686274,Asia/Shanghai,55,
,,Sichuan,CHN,550,3,,,,83410000,30.165213324835065,102.93966535826965,https://github.com/CSSEGISandData/COVID-19,state,0.5098039215686274,Asia/Shanghai,56,
,,Tianjin,CHN,174,3,,,,15600000,39.40813751918114,117.34508644325369,https://github.com/CSSEGISandData/COVID-19,state,0.5098039215686274,Asia/Shanghai,57,
,,Tibet,CHN,1,0,,,,3440000,31.88221486755922,88.74489831230724,https://github.com/CSSEGISandData/COVID-19,state,0.5098039215686274,Asia/Shanghai,58,
,,Xinjiang,CHN,76,3,,,,24870000,41.752899103285706,84.98429810398284,https://github.com/CSSEGISandData/COVID-19,state,0.5098039215686274,"Asia/Urumqi,Asia/Shanghai",59,
,,Yunnan,CHN,182,2,,,,48300000,25.179122725058342,101.85510583221756,https://github.com/CSSEGISandData/COVID-19,state,0.5098039215686274,Asia/Shanghai,60,
,,Zhejiang,CHN,1257,1,,,,57370000,29.189050400871963,120.1641359794138,https://github.com/CSSEGISandData/COVID-19,state,0.5098039215686274,Asia/Shanghai,61,
,,,COL,906,16,,,,47698524,4.114416812000066,-72.93652033249992,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,America/Bogota,62,
,,,COG,19,0,,,,4954674,-0.6556773869999333,14.870201735054954,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,Africa/Brazzaville,63,
,,,COD,98,8,,,,83301151,-4.029468688999948,21.726683794000053,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,Africa/Lubumbashi,64,
,,,CRI,347,2,,,,4930258,9.615482479500045,-84.21760006449992,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,America/Costa_Rica,65,
,,,CIV,179,1,,,,24184810,7.533667911000066,-5.536220662499915,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,Africa/Abidjan,66,
,,,HRV,867,6,,,,4292095,44.48165314050009,16.33771101500008,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,Europe/Sarajevo,67,
,,,CUB,186,6,,,,11147407,21.528102931500058,-79.28561357349994,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,America/Havana,68,
,,,CYP,262,8,,,,1221549,34.910753335500104,33.197142898000095,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,Asia/Nicosia,69,
,,,CZE,3308,31,,,,10674723,49.80312398300006,15.540038086000095,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,Europe/Prague,70,
,,,FRO,169,0,,,,50730,62.08268870650005,-6.9691055979999135,https://github.com/CSSEGISandData/COVID-19,state,0.5098039215686274,Atlantic/Faroe,71,
